color,intensity.trend,SE,df,asymp.LCL,asymp.UCL,species
R,0.009039163340139288,0.0012855804455198805,Inf,0.006519471967691365,0.01155885471258721,Laci
W,0.006417841741031391,0.001222330452928177,Inf,0.004022118076085633,0.00881356540597715,Laci
R,0.007868826332945722,9.942981000965344e-4,Inf,0.005920037866859913,0.00981761479903153,Lano
W,0.004363648061419285,8.243381748189218e-4,Inf,0.002747974927692716,0.005979321195145854,Lano
R,2.642273186459267e-4,6.85052310782645e-4,Inf,-0.001078450538013997,0.0016069051753058506,Mylu
W,5.808186739714326e-4,5.549056534631936e-4,Inf,-5.067764216340903e-4,0.0016684137695769554,Mylu
R,0.005903082668919352,0.0015323181385704877,Inf,0.002899794304463741,0.008906371033374962,Epfu
W,-0.004081794862911366,0.0013018265332599937,Inf,-0.006633327982219588,-0.0015302617436031445,Epfu
R,0.0023681072648349083,NA,Inf,NA,NA,Myev
W,0.003034259707363856,NA,Inf,NA,NA,Myev
R,0.0012479082970188857,0.0031327082673147867,Inf,-0.0048920870809889706,0.007387903675026742,Myvo
W,0.003011033661654146,0.003550622715811651,Inf,-0.0039480589840264835,0.009970126307334775,Myvo
R,-0.001893687238284556,NA,Inf,NA,NA,Myyu
W,7.040245601950225e-4,NA,Inf,NA,NA,Myyu
R,-6.448051567629975e-6,NA,Inf,NA,NA,Myci
W,-7.893785077851756e-5,NA,Inf,NA,NA,Myci
